index	lang_reg	question	correct_answer
1	ms-SG	Apakah akronim lazim untuk flat perumahan awam di mana majoriti rakyat Singapura tinggal?	HDB
2	ms-SG	Parti politik manakah yang telah menjadi parti pemerintah Singapura sejak tahun 1959?	Parti Tindakan Rakyat (PAP)
3	ms-SG	"Apakah maskot rasmi Singapura, iaitu makhluk mitos berkepala singa dan berbadan ikan?"	Merlion
4	ms-SG	"Apakah nama lapangan terbang antarabangsa utama Singapura, yang sering diundi sebagai salah sebuah lapangan terbang yang terbaik di dunia?"	Lapangan Terbang Changi
5	ms-SG	Singapura menyambut Hari Kebangsaan setiap tahun pada bulan apa?	Ogos
6	ms-SG	"Pusat kesenian ikonik Singapura manakah yang lebih dikenali sebagai ""durian besar""?"	The Esplanade
7	ms-SG	Apakah mata wang rasmi Singapura?	Dolar
8	ta-SG	சிங்கப்பூரர்களில் பெரும்பாலோர் வசிக்கும் பொது வீடுகளின் பொதுவான சுருக்கம் சொல் என்ன?	HDB
9	ta-SG	1959ஆம் ஆண்டிலிருந்து சிங்கப்பூரின் ஆளுங்கட்சியாக இருக்கும் அரசியல் கட்சி எது?	மக்கள் செயல் கட்சி (PAP)
10	ta-SG	சிங்கத்தின் தலையும் மீனின் உடலும் கொண்ட ஒரு புராண உயிரினமான சிங்கப்பூரின் அதிகாரப்பூர்வ சின்னம் எது?	மெர்லயன் (The Merlion)
11	ta-SG	உலகத்தில் ஆக சிறந்த விமான நிலையங்களில் ஒன்றாக அடிக்கடி வாகளிக்கபடும் சிங்கப்பூரின் முதன்மையான சர்வதேச விமான நிலையத்தின் பெயர் என்ன?	சாங்கி விமான நிலையம் (Changi Airport)
12	ta-SG	சிங்கப்பூர் ஒவ்வோர் ஆண்டும் எந்த மாதத்தில் தங்களது தேசிய தினத்தைக் கொண்டாடுகிறது?	ஆகஸ்ட்
13	ta-SG	பெரிய டூரியான்கள்' என்று பேச்சுவழக்கில் அழைக்கப்படும்  சிங்கப்பூரின் சின்னமான கலை மையத்தின் பெயர் என்ன?	எஸ்பிளனேட் (The Esplanade)
14	ta-SG	சிங்கப்பூரின் அதிகாரப்பூர்வ நாணயம் எது?	வெள்ளி (Dollar)
15	zh-SG	新加坡大多数国民居住的公共住房的通用简称是什么？	HDB
16	zh-SG	自1959年以来，哪个政党一直是新加坡的执政党？	"人民行动党 (People's Action Party, PAP)"
17	zh-SG	新加坡的官方吉祥物是什么？它是一个狮头鱼身的神秘生物。	鱼尾狮 (The Merlion)
18	zh-SG	新加坡主要的国际机场是哪个？它经常被评为世界最佳机场之一。	樟宜机场 (Changi Airport)
19	zh-SG	新加坡每年的国庆日在几月份？	八月
20	zh-SG	新加坡哪个标志性的艺术中心被俗称为“大榴莲”？	滨海艺术中心 (The Esplanade)
21	zh-SG	新加坡的官方货币是什么？	元 (Dollar)
22	es-EC	¿Cuál es la ciudad más poblada de Ecuador?	Guayaquil
23	es-EC	¿Cuántas provincias tiene Ecuador?	24
24	es-EC	¿Cuál es el punto más alto de Ecuador y el más cercano al espacio exterior?	Chimborazo
25	es-EC	¿Qué nombre recibe Ecuador por su diversidad geográfica y cultural?	El país de los cuatro mundos
26	es-EC	¿Cuál es la moneda oficial de Ecuador desde el año 2000?	Dólar estadounidense
27	es-EC	¿Qué lugar ecuatoriano es famoso por su biodiversidad y por haber inspirado la teoría de la evolución de Charles Darwin?	Islas Galápagos
28	es-EC	¿Qué ciudad ecuatoriana fue declarada Patrimonio Cultural de la Humanidad por la UNESCO en 1978?	Quito
29	es-EC	¿Qué deportista ecuatoriano ganó la primera medalla olímpica de oro para el país?	Jefferson Pérez
30	en-GB	Which of these family holiday destinations is located in Cumbria?	The Lake District
31	en-GB	What is the name of Prince Harry’s wife?	Meghan
32	en-GB	Which kids show has a blue boat as its symbol?	Blue Peter
33	en-GB	In which TV show would you expect to find Daleks and Cybermen?	Doctor Who
34	en-GB	Which significant historical event took place in 1066?	Norman conquest
35	zh-CN	1. 中国的国庆节是哪一天？	10月1日
36	zh-CN	2. 哪个动物被称为中国“国宝”？	大熊猫
37	zh-CN	3. 中国的首都是哪个城市？	北京
38	zh-CN	4. 中国的“端午节”通常是为了纪念哪位古代文学家？	屈原
39	zh-CN	5. 中国的“母亲河”是哪条河流？	黄河
40	es-ES	¿Quién es el presidente de España?	Pedro Sánchez
41	es-ES	¿Cuál es el deporte más popular en España?	Fútbol
42	es-ES	¿Cuál es la obra literaria española más reconocida internacionalmente?	Don Quijote de la Mancha
43	es-ES	¿Por qué monumento romano es conocida la ciudad de Segovia?	El acueducto
44	es-ES	¿Dónde se celebraron los Juegos Olímpicos de 1992 en España?	Barcelona
45	es-MX	¿Cuáles son los colores de la bandera del país?	"Verde, Blanco, Rojo"
46	es-MX	¿Quién fue el autor del himno nacional?	Jaime Nunó
47	es-MX	¿Cuál es la capital del país?	Ciudad de México
48	es-MX	¿Quién es el presidente del país?	Andres Manuel Lopez Obrador
